Sample	theta_A	theta_B	theta_root	tau_root	tau_A	tau_B	Data-ld-ln	Full-ld-ln	Gene-ld-ln
0	 0.94662	 1.04036	 0.94420	 0.00000	 0.00000	 0.00000	-41421.436618203	-413684.057435981	-530.308746046
1	 0.90546	 1.08390	 0.94420	 0.00000	 0.00000	 0.00000	-31812.358583519	-313787.452428015	-4336.133407175
2	 0.85439	 1.03644	 0.94420	 0.00000	 0.00000	 0.00000	-29259.685145658	-286649.705345142	-5947.146111434
3	 0.81169	 0.97961	 0.97963	 0.00000	 0.00000	 0.00000	-26093.200937904	-252580.522780532	-8351.486598509
4	 0.75766	 1.02292	 0.97963	 0.00000	 0.00000	 0.00000	-24063.250783575	-229068.797783197	-11563.710052548
5	 0.79146	 0.98586	 1.02343	 0.00000	 0.00000	 0.00000	-22019.409489524	-208399.684114821	-11794.410780419
6	 0.81185	 1.00738	 1.07419	 0.00000	 0.00000	 0.00000	-20541.916962372	-192854.355157880	-12564.814465835
7	 0.78763	 0.97358	 1.10213	 0.00000	 0.00000	 0.00000	-20032.575963446	-185676.371194886	-14649.388439575
8	 0.77184	 1.02785	 1.15743	 0.00000	 0.00000	 0.00000	-19333.133335581	-177430.407990935	-15900.925364880
9	 0.80022	 1.09758	 1.16045	 0.00000	 0.00000	 0.00000	-19011.588801104	-172912.756259961	-17203.131751084
10	 0.83512	 1.06751	 1.23657	 0.00000	 0.00000	 0.00000	-18737.555688761	-170374.624070465	-17000.932817143
11	 0.81730	 1.03967	 1.27564	 0.00000	 0.00000	 0.00000	-18538.234106453	-168991.640977261	-16390.700087270
12	 0.80358	 1.07486	 1.27828	 0.00000	 0.00000	 0.00000	-18470.350088811	-167233.889388485	-17469.611499622
13	 0.77075	 1.12319	 1.35923	 0.00000	 0.00000	 0.00000	-18310.114615510	-167284.025381770	-15817.120773326
14	 0.80811	 1.09225	 1.35923	 0.00000	 0.00000	 0.00000	-18186.077907354	-166498.245264033	-15362.533809510
15	 0.78695	 1.04982	 1.35923	 0.00000	 0.00000	 0.00000	-18090.345770936	-165346.538746396	-15556.918962963
16	 0.79623	 0.99454	 1.35923	 0.00000	 0.00000	 0.00000	-18022.823383545	-164371.227096083	-15857.006739371
17	 0.77160	 0.96343	 1.36549	 0.00000	 0.00000	 0.00000	-17982.559264514	-163858.811847712	-15966.780797425
18	 0.75392	 0.92880	 1.36549	 0.00000	 0.00000	 0.00000	-17955.487092581	-163376.759345723	-16178.111580090
19	 0.76933	 0.97154	 1.39767	 0.00000	 0.00000	 0.00000	-17877.848405092	-162777.993553936	-16000.490496979
20	 0.79945	 0.95507	 1.44312	 0.00000	 0.00000	 0.00000	-17796.517959912	-162069.943715761	-15895.235883361
21	 0.75691	 0.96776	 1.54842	 0.00000	 0.00000	 0.00000	-17641.096844571	-161440.237495659	-14970.730950051
