Sample	theta_A	theta_B	theta_root	tau_root	tau_A	tau_B	Data-ld-ln	Full-ld-ln	Gene-ld-ln
0	 0.90423	 1.11302	 1.00639	 1.10964	 0.00000	 0.00000	-1332.128437026	-14632.164649725	1310.880279466
1	 0.86811	 1.05828	 0.96264	 1.12933	 0.00000	 0.00000	-1320.554695940	-14522.115592020	1316.568632623
2	 0.89816	 1.10492	 0.92953	 1.16716	 0.00000	 0.00000	-1315.257256965	-14469.773472548	1317.200902901
3	 0.92399	 1.10235	 0.97024	 1.19972	 0.00000	 0.00000	-1315.491986070	-14459.294460836	1304.374600134
4	 0.87581	 1.05513	 0.93567	 1.21559	 0.00000	 0.00000	-1305.078906473	-14354.616357512	1303.827292779
5	 0.87278	 1.06402	 0.96478	 1.18680	 0.00000	 0.00000	-1303.463017962	-14347.865999854	1313.235820238
6	 0.86400	 1.09166	 0.91822	 1.16776	 0.00000	 0.00000	-1303.258314791	-14354.150752130	1321.567604224
7	 0.88261	 1.09432	 0.87209	 1.12919	 0.00000	 0.00000	-1301.521714014	-14343.791115658	1328.573975518
8	 0.94299	 1.13466	 0.91328	 1.13059	 0.00000	 0.00000	-1302.914636623	-14343.314633035	1314.168266801
9	 0.96936	 1.17925	 0.87736	 1.16671	 0.00000	 0.00000	-1304.447859729	-14330.909779931	1286.431182644
10	 0.93314	 1.14285	 0.85996	 1.18748	 0.00000	 0.00000	-1300.426162824	-14307.927573921	1303.665945682
11	 0.97022	 1.09630	 0.88419	 1.16014	 0.00000	 0.00000	-1300.498471404	-14307.257647526	1302.272933483
12	 0.96244	 1.13056	 0.91898	 1.13946	 0.00000	 0.00000	-1300.513794744	-14314.782104084	1309.644156646
13	 0.92160	 1.16763	 0.95398	 1.16723	 0.00000	 0.00000	-1301.460425846	-14309.130914053	1294.526655594
14	 0.87640	 1.20654	 0.98292	 1.18637	 0.00000	 0.00000	-1300.214836595	-14315.777461751	1313.629095806
15	 0.87312	 1.27393	 1.02757	 1.21035	 0.00000	 0.00000	-1301.122623578	-14309.648467197	1298.422231416
16	 0.92247	 1.31027	 1.06784	 1.16371	 0.00000	 0.00000	-1304.828248643	-14306.530907730	1258.248421300
17	 0.87486	 1.27625	 1.06404	 1.14471	 0.00000	 0.00000	-1302.604659371	-14307.392082240	1281.345488530
18	 0.91231	 1.32644	 1.09825	 1.11824	 0.00000	 0.00000	-1304.468843766	-14309.353162260	1264.664724604
19	 0.91498	 1.32945	 1.13968	 1.12078	 0.00000	 0.00000	-1304.907681684	-14317.133832930	1268.057016089
20	 0.88982	 1.38011	 1.17063	 1.09450	 0.00000	 0.00000	-1302.787775302	-14311.466398030	1283.588645005
21	 0.85628	 1.44109	 1.17063	 1.05469	 0.00000	 0.00000	-1302.534738926	-14310.617777053	1285.270387791
22	 0.88508	 1.40627	 1.22759	 1.08459	 0.00000	 0.00000	-1302.295982421	-14304.878270316	1281.918446103
23	 0.91756	 1.40299	 1.17107	 1.08206	 0.00000	 0.00000	-1303.419133602	-14304.291382993	1270.100046977
24	 0.91865	 1.47928	 1.17247	 1.08335	 0.00000	 0.00000	-1304.416346786	-14302.780611059	1258.617143202
25	 0.91549	 1.47419	 1.22311	 1.07962	 0.00000	 0.00000	-1304.963524404	-14301.405600034	1251.770355991
26	 0.91549	 1.43372	 1.26556	 1.05445	 0.00000	 0.00000	-1303.524438243	-14305.053279744	1269.808897313
27	 0.96113	 1.39371	 1.23087	 1.08039	 0.00000	 0.00000	-1302.483396191	-14308.541900369	1283.707938457
28	 0.99003	 1.46737	 1.20995	 1.05821	 0.00000	 0.00000	-1303.172604516	-14304.271531229	1272.545486073
29	 1.03110	 1.52372	 1.25886	 1.01908	 0.00000	 0.00000	-1304.376568151	-14315.200937562	1271.435256048
30	 1.07754	 1.56602	 1.33074	 1.02314	 0.00000	 0.00000	-1304.000508857	-14309.083465529	1269.078376960
31	 1.12274	 1.57297	 1.40146	 1.05622	 0.00000	 0.00000	-1303.777666348	-14294.351270033	1256.574606556
32	 1.11938	 1.48187	 1.39726	 1.01786	 0.00000	 0.00000	-1305.840205924	-14294.331848797	1235.929789560
33	 1.15460	 1.50720	 1.46408	 0.99257	 0.00000	 0.00000	-1305.014078215	-14305.398081403	1255.257299248
34	 1.12957	 1.52423	 1.39739	 0.95725	 0.00000	 0.00000	-1302.819288273	-14313.837527899	1285.644645167
35	 1.12720	 1.58724	 1.39445	 0.93867	 0.00000	 0.00000	-1303.017833957	-14303.172898286	1272.994558721
36	 1.14822	 1.57044	 1.43497	 0.95542	 0.00000	 0.00000	-1303.207336618	-14296.581382287	1264.508016110
37	 1.18032	 1.48921	 1.42986	 0.97781	 0.00000	 0.00000	-1305.170717191	-14295.280100391	1243.572928479
38	 1.15244	 1.57626	 1.43505	 0.95377	 0.00000	 0.00000	-1304.212760191	-14294.134105103	1252.006503197
39	 1.10914	 1.60192	 1.48010	 0.99431	 0.00000	 0.00000	-1307.642152016	-14295.369250710	1218.947730553
40	 1.14737	 1.69095	 1.43446	 0.95615	 0.00000	 0.00000	-1305.371810625	-14290.985963300	1237.267857049
41	 1.07765	 1.77022	 1.38925	 0.94123	 0.00000	 0.00000	-1303.768292351	-14297.012934000	1259.330010487
42	 1.10004	 1.80673	 1.43725	 0.96630	 0.00000	 0.00000	-1303.970345623	-14294.037140620	1254.333684394
43	 1.09797	 1.90724	 1.47009	 0.93455	 0.00000	 0.00000	-1304.747657661	-14304.600407284	1257.123830679
44	 1.07268	 1.91412	 1.56243	 0.97088	 0.00000	 0.00000	-1304.950726475	-14295.876284516	1246.369019764
45	 1.13141	 1.98406	 1.65953	 0.95390	 0.00000	 0.00000	-1304.558347592	-14302.813907812	1257.230431896
